taxonID,taxonRank,scientificName,Scientific Name Authorship,Nomenclatural Status,Preferred Common Name,establishmentMeans,Habitat,genus,family,order,class,phylum,kingdom,datasetName
NHMSYS0000309960,species,Marsupella emarginata,(Ehrh.) Dumort.,,Notched Rustwort,Native,freshwater,Marsupella,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000149612,species,Isopaches bicrenatus,(Schmid. ex Hoffm.) Buch,,Lesser Notchwort,Native,,Isopaches,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310734,genus,Tetralophozia,(R.M.Schust.) Schljakov,,,Native,,,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021601122,species,Saccobasis polita,(Nees) H. Buch,,Flush Notchwort,Native,terrestrial/freshwater,Saccobasis,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310463,species,Scapania aspera,M. & H.Bernet,,Rough Earwort,Native,freshwater,Scapania,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309621,genus,Chiloscyphus,Corda,,,Native,freshwater,,Lophocoleaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959434,family,Petalophyllaceae,,,,Native,,,,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309687,genus,Metzgeria,Raddi,,,Native,freshwater,,Metzgeriaceae,Metzgeriales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035995,species,Lejeunea lamacerina,(Steph.) Schiffn.,,Western Pouncewort,Native,freshwater,Lejeunea,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309840,genus,Eremonotus,Lindb. & Kaal. ex Pearson,,,Native,,,Jungermanniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021596207,species,Gymnomitrion alpinum,(Gottsche ex Husn.) Schiffn.,,Alpine Rustwort,Native,terrestrial/freshwater,Gymnomitrion,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959429,family,Mesoptychiaceae,,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310349,genus,Pleurozia,Dumort.,,,Native,freshwater,,Pleuroziaceae,Pleuroziales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309606,species,Cephaloziella stellulifera,(Spruce) Schiffn.,,Heath Threadwort,Native,,Cephaloziella,Cephaloziellaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035776,species,Lepidozia pearsonii,Spruce,,Pearson's Fingerwort,Native,,Lepidozia,Lepidoziaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021600362,genus,Schistochilopsis,(N.Kitag.) Konstant.,,,Native,terrestrial/freshwater,,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310155,family,Lepidoziaceae,Limpr.,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000144912,species,Cololejeunea microscopica,(Tayl.) Schiffn.,,Long-leaved Pouncewort,Native,freshwater,Cololejeunea,Lejeuneaceae,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000040751,subspecies,Marchantia polymorpha subsp. ruderalis,Bischl. & Boisselier,,,Native,freshwater,Marchantia,Marchantiaceae,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310208,genus,Moerckia,Gottsche,,,Native,freshwater,,Moerckiaceae,Pallaviciniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309397,species,Barbilophozia barbata,(Schmidel ex Schreb.) Loeske,,Bearded Pawwort,Native,,Barbilophozia,Anastrophyllaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021597287,family,Blepharostomataceae,W.Frey & M.Stech,,,Native,terrestrial/freshwater,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021194650,species,Fossombronia mittenii,Tind.,,Crozal's Frillwort,Native,,Fossombronia,Fossombroniaceae,Fossombroniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020636832,species,Lophocolea brookwoodiana,Paton & Sheahan,,,Native,,Lophocolea,Lophocoleaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959427,order,Lunulariales,,,,Native,,,,,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959421,family,Dumortieraceae,,,,Native,,,,Marchantiales,Marchantiopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021615189,species,Mesoptychia rutheana,(Limpr.) L. Söderstr. & Váňa,s.str,,Native,terrestrial,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035841,species,Lophozia ventricosa var. ventricosa,(Dicks.) Dumort.,,,Native,freshwater,Lophozia,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309995,family,Gymnomitriaceae,Klinggr.,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309909,family,Frullaniaceae,Lorch,,,Native,,,,Porellales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0020959428,family,Mastigophoraceae,,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021272931,subspecies,Blepharostoma trichophyllum subsp. brevirete,(Bryhn & Kaal.) R.M.Schust.,,,Native,terrestrial,Blepharostoma,Blepharostomataceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000310470,species,Scapania lingulata,H.Buch,,Tongue Earwort,Native,,Scapania,Scapaniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309609,family,Cephaloziellaceae,Douin,,,Native,,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0021596572,family,Endogemmaceae,"Konstant., Vilnet & A.V. Troitsky",,,Native,terrestrial/freshwater,,,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000035954,species,Harpanthus flotovianus,(Nees) Nees,,Great Mountain Flapwort,Native,freshwater,Harpanthus,Harpanthaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NHMSYS0000309841,species,Eremonotus myriocarpus,(Carrington) Lindb. & Kaal. ex Pearson,,Clubwort,Native,,Eremonotus,Jungermanniaceae,Jungermanniales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
NBNSYS0000036033,species,Riccardia palmata,(Hedw.) Carruth.,,Palmate Germanderwort,Native,,Riccardia,Aneuraceae,Metzgeriales,Jungermanniopsida,Marchantiophyta,Plantae,UKSI
