BIOTOPE_SHORT_TERM1,BIOTOPE_FULL_TERM1,BIOTOPE_CODE1,CLASSN1,BIOTOPE_SHORT_TERM2,BIOTOPE_FULL_TERM2,BIOTOPE_CODE2,CLASSN2,RELATIONSHIP,
Lowland middle European calcareous cliff communities        ,Lowland middle European calcareous cliff communities                            ,H3.2B,EUNIS Classification,Plants in crevices in base-rich rocks,Calcareous rocky slopes with chasmophytic vegetation,H8210,EU Habitats Directive Annex I,is contained in,H8210
Northern wet inland cliffs,Northern wet inland cliffs,H3.42,EUNIS Classification,Saxifraga aizoides-Alchemilla glabra banks,<i>Saxifraga aizoides</i>-<i>Alchemilla glabra</i> banks,U15,National Vegetation Classification,is contained in,
"Almost bare rock pavements, including limestone pavements","Almost bare rock pavements, including limestone pavements",H3.5,EUNIS Classification,Natural rock exposure: limestone pavement,Natural rock exposure: limestone pavement,I13,Phase 1 Habitat Classification,contains,
"Almost bare rock pavements, including limestone pavements","Almost bare rock pavements, including limestone pavements",H3.5,EUNIS Classification,Limestone pavements,Limestone pavements,,Biodiversity Action Plan Priority Habitats,contains,
Limestone pavements,Limestone pavements,H3.511,EUNIS Classification,Limestone pavements,Limestone pavements,H8240,EU Habitats Directive Annex I,is equal to,H8240
Weathered rock and outcrop habitats,Weathered rock and outcrop habitats,H3.6,EUNIS Classification,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,overlaps with,
Weathered rock and outcrop habitats,Weathered rock and outcrop habitats,H3.6,EUNIS Classification,"Natural rock exposure: other exposure, acid/netural","Natural rock exposure: other exposure, acid/netural",I141,Phase 1 Habitat Classification,overlaps with,
Weathered rock and outcrop habitats,Weathered rock and outcrop habitats,H3.6,EUNIS Classification,Natural rock exposure: other exposure,Natural rock exposure: other exposure,I14,Phase 1 Habitat Classification,is contained in,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,may be included in,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,overlaps with,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Dry heath/acid grassland,Dry heath/acid grassland,D5,Phase 1 Habitat Classification,overlaps with,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Dwarf shrub heath,Dwarf shrub heath,10,Biodiversity Action Plan Broad Habitats,is contained in,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Dry heaths,European dry heaths ,H4030,EU Habitats Directive Annex I,is contained in,H4030
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Wet heathland with Dorset heath and cross-leaved heath,Temperate Atlantic wet heaths with <i>Erica ciliaris</i> and <i>Erica tetralix</i>,H4020,EU Habitats Directive Annex I,overlaps with,H4020
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Upland heathland,Upland heathland,,Biodiversity Action Plan Priority Habitats,is contained in,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Atlantic Erica - Ulex heaths,Atlantic <i>Erica</i> - <i>Ulex</i> heaths,F4.23,EUNIS Classification,overlaps with,
Ulex gallii - Agrostis curtisii heath,<i>Ulex gallii</i>-<i>Agrostis curtisii</i> heath,H4,National Vegetation Classification,Southern wet heaths,Southern wet heaths,F4.12,EUNIS Classification,overlaps with,
Boulders/rocks above high tide mark,Boulders/rocks above high tide mark,H4,Phase 1 Habitat Classification,Supralittoral rock,Supralittoral rock,18,Biodiversity Action Plan Broad Habitats,is contained in,
Boulders/rocks above high tide mark,Boulders/rocks above high tide mark,H4,Phase 1 Habitat Classification,Boulders and rock above the high tide mark,Boulders and rock above the high tide mark,SR2,Integrated Habitat System,is equal to,
Boulders/rocks above high tide mark,Boulders/rocks above high tide mark,H4,Phase 1 Habitat Classification,Supralittoral rock (lichen or splash zone),Supralittoral rock (lichen or splash zone),B3.1,EUNIS Classification,contains,
Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,may be included in,
Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,Wet dwarf shrub heath,Wet dwarf shrub heath,D2,Phase 1 Habitat Classification,is contained in,
Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,Dwarf shrub heath,Dwarf shrub heath,10,Biodiversity Action Plan Broad Habitats,is contained in,
Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,Wet heathland with cross-leaved heath,Northern Atlantic wet heaths with <i>Erica tetralix</i>,H4010,EU Habitats Directive Annex I,is contained in,H4010
Erica vagans - Schoenus nigricans heath,<i>Erica vagans</i>-<i>Schoenus nigricans</i> heath,H5,National Vegetation Classification,Maritime gorse heaths                                       ,Maritime gorse heaths                                                           ,F4.231,EUNIS Classification,overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Maritime cliff and slope,Maritime cliff and slope,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Matricaria maritima-Galium aparine strandline community,<i>Matricaria maritima</i>-<i>Galium aparine</i> strandline community,SD3,National Vegetation Classification,overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Atriplex prostrata-Beta vulgaris ssp. maritima sea-bird clif,<i>Atriplex prostrata-<i>Beta vulgaris</i> ssp. <i>maritima</i> sea-bird cliff community,MC6,National Vegetation Classification,overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Supralittoral sediment,Supralittoral sediment,19,Biodiversity Action Plan Broad Habitats,is contained in,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Honkenya peploides-Cakile maritima strandline community,<i>Honkenya peploides</i>-<i>Cakile maritima</i> strandline community,SD2,National Vegetation Classification,overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Rumex crispus-Glaucium flavum shingle community,<i>Rumex crispus</i>-<i>Glaucium flavum</i> shingle community,SD1,National Vegetation Classification,overlaps with,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Sand beach driftlines,Sand beach driftlines,B1.1,EUNIS Classification,contains,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Strandline vegetation,Strandline vegetation,SS4,Integrated Habitat System,is equal to,
Strandline vegetation,Strandline vegetation,H5,Phase 1 Habitat Classification,Shingle beach driftlines,Shingle beach driftlines,B2.1,EUNIS Classification,contains,
Sparsely- or un-vegetated habitats on mineral substrates not,Sparsely- or un-vegetated habitats on mineral substrates not resulting from recent ice activity,H5.3,EUNIS Classification,Bare ground,Bare ground,J4,Phase 1 Habitat Classification,is contained in,
Boulder fields,Boulder fields,H5.37,EUNIS Classification,Inland rock,Inland rock,16,Biodiversity Action Plan Broad Habitats,is contained in,
Boulder fields,Boulder fields,H5.37,EUNIS Classification,"Natural rock exposure: other exposure, basic","Natural rock exposure: other exposure, basic",I142,Phase 1 Habitat Classification,overlaps with,
Boulder fields,Boulder fields,H5.37,EUNIS Classification,"Natural rock exposure: other exposure, acid/netural","Natural rock exposure: other exposure, acid/netural",I141,Phase 1 Habitat Classification,overlaps with,
Boulder fields,Boulder fields,H5.37,EUNIS Classification,Natural rock exposure: other exposure,Natural rock exposure: other exposure,I14,Phase 1 Habitat Classification,is contained in,
Dry organic substrates with very sparse or no vegetation,Dry organic substrates with very sparse or no vegetation,H5.4,EUNIS Classification,Bare peat,Bare peat,E4,Phase 1 Habitat Classification,relationship uncertain,
Burnt areas with very sparse or no vegetation,Burnt areas with very sparse or no vegetation,H5.5,EUNIS Classification,Bare ground,Bare ground,J4,Phase 1 Habitat Classification,is contained in,
Trampled areas,Trampled areas,H5.6,EUNIS Classification,Bare ground,Bare ground,J4,Phase 1 Habitat Classification,is contained in,
Unsurfaced pathways,Unsurfaced pathways,H5.61,EUNIS Classification,Boundary and linear features,Boundary and linear features,3,Biodiversity Action Plan Broad Habitats,is contained in,
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Lowland heathland,Lowland heathland,,Biodiversity Action Plan Priority Habitats,may be included in,
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Dry dwarf shrub heath: acid,Dry dwarf shrub heath: acid,D11,Phase 1 Habitat Classification,overlaps with,
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Dry dwarf shrub heath: basic,Dry dwarf shrub heath: basic,D12,Phase 1 Habitat Classification,overlaps with,
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Dwarf shrub heath,Dwarf shrub heath,10,Biodiversity Action Plan Broad Habitats,is contained in,
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Dry coastal heaths with Cornish heath,Dry Atlantic coastal heaths with <i>Erica vagans</i>,H4040,EU Habitats Directive Annex I,is contained in,H4040
Erica vagans - Ulex europaeus heath,<i>Erica vagans</i>-<i>Ulex europaeus</i> heath,H6,National Vegetation Classification,Maritime gorse heaths                                       ,Maritime gorse heaths                                                           ,F4.231,EUNIS Classification,overlaps with,
Sand-dune,Sand-dune,H6,Phase 1 Habitat Classification,Coastal sand dunes,Coastal sand dunes,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Sand-dune,Sand-dune,H6,Phase 1 Habitat Classification,Supralittoral sediment,Supralittoral sediment,19,Biodiversity Action Plan Broad Habitats,is contained in,
Sand-dune,Sand-dune,H6,Phase 1 Habitat Classification,Coastal dunes and sandy shores,Coastal dunes and sandy shores,B1,EUNIS Classification,is contained in,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Coastal sand dunes,Coastal sand dunes,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Juncus squarrosus-Festuca ovina grassland,<i>Juncus squarrosus</i>-<i>Festuca ovina</i> grassland,U6,National Vegetation Classification,overlaps with,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Salix repens-Holcus lanatus dune-slack community,<i>Salix repens</i>-<i>Holcus lanatus</i> dune-slack community,SD16,National Vegetation Classification,contains,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Ranunculus baudotii community,<i>Ranunculus baudotii</i> community,A21,National Vegetation Classification,overlaps with,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Salix repens-Calliergon cuspidatum dune-slack community,<i>Salix repens</i>-<i>Calliergon cuspidatum</i> dune-slack community,SD15,National Vegetation Classification,contains,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Salix repens-Campylium stellatum dune-slack community,<i>Salix repens</i>-<i>Campylium stellatum</i> dune-slack community,SD14,National Vegetation Classification,contains,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Sagina nodosa-Bryum pseudotriquetrum dune-slack community,<i>Sagina nodosa</i>-<i>Bryum pseudotriquetrum</i> dune-slack community,SD13,National Vegetation Classification,contains,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Supralittoral sediment,Supralittoral sediment,19,Biodiversity Action Plan Broad Habitats,is contained in,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Potentilla anserina-Carex nigra dune-slack community,<i>Potentilla anserina</i>-<i>Carex nigra</i> dune-slack community,SD17,National Vegetation Classification,contains,
Sand-dune: dune slack,Sand-dune: dune slack,H64,Phase 1 Habitat Classification,Moist and wet dune slacks,Moist and wet dune slacks,B1.8,EUNIS Classification,is equal to,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Coastal sand dunes,Coastal sand dunes,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Lowland dry acid grassland,Lowland dry acid grassland,,Biodiversity Action Plan Priority Habitats,potentially overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Koeleria macrantha sub-community,<i>Festuca ovina</i>-<i>Carlina vulgaris</i> grassland: <i>Koeleria macrantha</i> subcommunity,CG1e,National Vegetation Classification,overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Festuca rubra-Agrostis stolonifera-Potentilla anserina grass,<i>Festuca rubra</i>-<i>Agrostis stolonifera</i>-<i>Potentilla anserina</i> grassland,MG11,National Vegetation Classification,overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Nardus stricta-Galium saxatile grassland,<i>Nardus stricta</i>-<i>Galium saxatile</i> grassland,U5,National Vegetation Classification,overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Festuca ovina-Agrostis capillaris-Galium saxatile grassland,<i>Festuca ovina</i>-<i>Agrostis capillaris</i>-<i>Galium saxatile</i> grassland,U4,National Vegetation Classification,overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Deschampsia flexuosa grassland,<i>Deschampsia flexuosa</i> grassland,U2,National Vegetation Classification,overlaps with,
Sand-dune: dune grassland,Sand-dune: dune grassland,H65,Phase 1 Habitat Classification,Phleum arenarium-Arenaria serpyllifolia dune annual communit,<i>Phleum arenarium</i>-<i>Arenaria serpyllifolia</i> dune annual community,SD19,National Vegetation Classification,overlaps with,
